Foreign State of Chargeability,,
or Place of Birth,Visa Class,Issuances
Brazil,F41,10
Brazil,F42,4
Brazil,F43,2
Brazil,FX1,4
Brazil,FX2,3
Brazil,FX3,1
Brazil,I51,8
Brazil,I52,9
Brazil,I53,11
Brazil,IH3,5
Brazil,IR1,107
Brazil,IR2,28
Brazil,IR5,61
Brunei,DV1,1
Brunei,DV2,1
Bulgaria,CR1,2
Bulgaria,DV1,5
Bulgaria,DV2,3
Bulgaria,DV3,3
Bulgaria,F31,2
Bulgaria,F32,2
Bulgaria,F33,3
Bulgaria,F41,1
Bulgaria,F42,1
Bulgaria,F43,2
Bulgaria,IH3,13
Bulgaria,IR1,1
Bulgaria,IR2,2
Bulgaria,IR5,13
Bulgaria,IW1,1
Burkina Faso,DV1,4
Burkina Faso,DV2,1
Burkina Faso,DV3,1
Burkina Faso,FX1,1
Burkina Faso,FX2,4
Burkina Faso,IR2,2
Burkina Faso,IR5,4
Burma,CR1,23
Burma,DV1,3
Burma,DV2,1
Burma,F11,2
Burma,F21,2
Burma,F22,2
Burma,F31,1
Burma,F41,8
Burma,F42,7
Burma,F43,7
Burma,IR1,3
Burma,IR2,6
Burma,IR5,28
Burma,SD1,1
Burma,SD3,2
Burundi,CR1,1
Burundi,DV1,1
Burundi,DV2,1
Burundi,DV3,1
Burundi,F21,1
Burundi,IH3,3
Burundi,IR1,2
Burundi,IR5,1
Cabo Verde,CR1,3
Cabo Verde,CR2,8
Cabo Verde,F11,14
Cabo Verde,F12,28
Cabo Verde,F21,2
Cabo Verde,F22,4
Cabo Verde,F24,11
Cabo Verde,F25,18
Cabo Verde,F41,2
Cabo Verde,F42,1
Cabo Verde,F43,2
Cabo Verde,FX1,5
Cabo Verde,FX2,6
Cabo Verde,FX3,9
Cabo Verde,IR1,3
Cabo Verde,IR2,13
Cabo Verde,IR5,23
Cambodia,CR1,10
Cambodia,F11,7
Cambodia,F12,3
Cambodia,F22,3
Cambodia,F24,6
Cambodia,F41,6
Cambodia,F42,3
Cambodia,F43,7
Cambodia,FX2,3
Cambodia,IR1,13
Cambodia,IR2,9
Cambodia,IR5,82
Cambodia,SD1,2
Cameroon,CR1,12
Cameroon,DV1,61
Cameroon,DV2,16
Cameroon,DV3,30
Cameroon,E23,1
Cameroon,F11,1
Cameroon,F21,5
Cameroon,F22,7
Cameroon,F23,1
Cameroon,F41,2
Cameroon,F42,1
Cameroon,F43,3
Cameroon,FX1,4
Cameroon,FX2,4
Cameroon,IB3,1
Cameroon,IR1,9
Cameroon,IR2,21
Cameroon,IR5,51
Cameroon,SD1,1
Cameroon,SD3,3
Canada,CR1,42
Canada,CR2,2
Canada,E11,3
Canada,E13,1
Canada,E14,1
Canada,E15,2
Canada,E21,2
Canada,E22,2
Canada,E23,3
Canada,E32,1
Canada,E35,1
Canada,F11,1
Canada,F21,2
Canada,F22,1
Canada,F23,1
Canada,F24,1
Canada,F33,2
Canada,F43,4
Canada,FX1,3
Canada,FX2,4
Canada,FX3,5
Canada,I53,1
Canada,IR1,36
Canada,IR2,7
Canada,IR5,7
Canada,SQ3,1
Canada,T53,2
Cayman Islands,IR2,1
Central African Republic,IR5,1
Chad,F41,1
Chile,CR1,2
Chile,E11,1
Chile,E23,1
Chile,F11,1
Chile,F31,2
Chile,F32,1
Chile,F33,1
Chile,FX1,2
Chile,FX2,1
Chile,I51,1
Chile,I52,1
Chile,IR1,5
Chile,IR2,1
Chile,IR5,7
China - mainland born,C51,5
China - mainland born,C52,2
China - mainland born,C53,6
China - mainland born,CR1,126
China - mainland born,CR2,29
China - mainland born,E11,91
China - mainland born,E12,1
China - mainland born,E13,5
China - mainland born,E14,96
China - mainland born,E15,94
China - mainland born,E21,2
China - mainland born,E22,2
China - mainland born,E23,1
China - mainland born,E31,6
China - mainland born,E34,6
China - mainland born,E35,7
China - mainland born,EW3,3
China - mainland born,EW4,3
China - mainland born,EW5,5
China - mainland born,F11,43
China - mainland born,F12,18
China - mainland born,F21,149
China - mainland born,F22,58
China - mainland born,F23,12
China - mainland born,F24,40
China - mainland born,F25,10
China - mainland born,F31,41
China - mainland born,F32,39
China - mainland born,F33,42
China - mainland born,F41,183
China - mainland born,F42,135
China - mainland born,F43,139
China - mainland born,FX1,89
China - mainland born,FX2,42
China - mainland born,FX3,3
China - mainland born,I51,255
China - mainland born,I52,174
China - mainland born,I53,325
China - mainland born,IH3,149
China - mainland born,IR1,132
China - mainland born,IR2,47
China - mainland born,IR5,469
China - mainland born,IW1,3
China - mainland born,R51,2
China - mainland born,R52,2
China - mainland born,R53,3
China - mainland born,SB1,1
China - mainland born,SE1,1
China - mainland born,SE2,1
China - mainland born,SE3,1
China - mainland born,T51,5
China - mainland born,T53,1
China - Taiwan born,C51,1
China - Taiwan born,C52,1
China - Taiwan born,C53,1
China - Taiwan born,CR1,14
China - Taiwan born,CR2,2
China - Taiwan born,DV1,5
China - Taiwan born,DV2,3
China - Taiwan born,DV3,5
China - Taiwan born,E11,1
China - Taiwan born,E14,1
China - Taiwan born,E21,2
China - Taiwan born,E22,2
China - Taiwan born,E23,1
China - Taiwan born,E31,2
China - Taiwan born,E32,1
China - Taiwan born,E34,1
China - Taiwan born,E35,3
China - Taiwan born,F11,11
China - Taiwan born,F12,2
China - Taiwan born,F31,4
China - Taiwan born,F32,4
China - Taiwan born,F33,7
China - Taiwan born,F41,22
China - Taiwan born,F42,10
China - Taiwan born,F43,20
China - Taiwan born,FX1,1
China - Taiwan born,FX2,1
China - Taiwan born,I51,9
China - Taiwan born,I52,8
China - Taiwan born,I53,12
China - Taiwan born,IR1,17
China - Taiwan born,IR2,4
China - Taiwan born,IR3,3
China - Taiwan born,IR5,20
China - Taiwan born,SB1,1
Colombia,CR1,76
Colombia,CR2,34
Colombia,E11,2
Colombia,E14,1
Colombia,E15,1
Colombia,E21,2
Colombia,E22,2
Colombia,E23,2
Colombia,E31,5
Colombia,E32,1
Colombia,E34,5
Colombia,E35,6
Colombia,EW3,1
Colombia,F11,72
Colombia,F12,41
Colombia,F21,22
Colombia,F22,16
Colombia,F23,9
Colombia,F24,20
Colombia,F25,14
Colombia,F31,5
Colombia,F32,3
Colombia,F33,4
Colombia,F41,31
Colombia,F42,8
Colombia,F43,16
Colombia,FX1,24
Colombia,FX2,14
Colombia,FX3,19
Colombia,I51,1
Colombia,I52,1
Colombia,I53,1
Colombia,IH3,31
Colombia,IR1,85
Colombia,IR2,65
Colombia,IR5,97
Colombia,SB1,4
Colombia,T51,1
Colombia,T52,1
Colombia,T53,1
"Congo, Democratic Republic of the",CR1,6
"Congo, Democratic Republic of the",DV1,53
"Congo, Democratic Republic of the",DV2,20
"Congo, Democratic Republic of the",DV3,40
"Congo, Democratic Republic of the",F21,4
"Congo, Democratic Republic of the",F22,11
"Congo, Democratic Republic of the",FX1,1
"Congo, Democratic Republic of the",FX2,2
"Congo, Democratic Republic of the",IR1,4
"Congo, Democratic Republic of the",IR2,2
"Congo, Democratic Republic of the",IR3,3
"Congo, Democratic Republic of the",IR4,1
"Congo, Democratic Republic of the",IR5,11
"Congo, Democratic Republic of the",SB1,1
"Congo, Republic of the",CR1,1
"Congo, Republic of the",DV1,4
"Congo, Republic of the",DV2,2
"Congo, Republic of the",DV3,3
Costa Rica,CR1,9
Costa Rica,CR2,4
Costa Rica,E21,1
Costa Rica,E22,1
Costa Rica,E23,1
Costa Rica,E31,2
Costa Rica,E34,1
Costa Rica,E35,2
Costa Rica,F11,3
Costa Rica,F12,3
Costa Rica,F22,1
Costa Rica,F24,2
Costa Rica,F43,1
Costa Rica,FX1,1
Costa Rica,FX2,1
Costa Rica,IH3,1
Costa Rica,IR1,27
Costa Rica,IR2,7
Costa Rica,IR5,10
Cote d'Ivoire,CR1,7
Cote d'Ivoire,DV1,10
Cote d'Ivoire,DV2,3
Cote d'Ivoire,DV3,2
Cote d'Ivoire,E14,1
Cote d'Ivoire,F11,2
Cote d'Ivoire,F12,1
Cote d'Ivoire,F21,1
Cote d'Ivoire,F22,2
Cote d'Ivoire,F23,1
Cote d'Ivoire,F41,1
Cote d'Ivoire,F42,1
Cote d'Ivoire,F43,2
Cote d'Ivoire,FX1,3
Cote d'Ivoire,FX2,1
Cote d'Ivoire,IR1,2
Cote d'Ivoire,IR2,7
Cote d'Ivoire,IR5,4
Croatia,E11,1
Croatia,E21,1
Croatia,F21,1
Croatia,F42,1
Croatia,IR5,5
Cuba,CR1,2
Cuba,F22,1
Cuba,F31,1
Cuba,F32,1
Cuba,F33,1
Cuba,FX1,4
Cuba,FX2,3
Cuba,FX3,7
Cuba,IR1,1
Cuba,IR5,1
Cyprus,IR1,2
Czech Republic,F22,1
Czech Republic,IR5,2
Czech Republic,SB1,1
Denmark,CR1,3
Denmark,F21,2
Denmark,IR1,4
Djibouti,IR1,1
Dominica,F11,6
Dominica,F12,1
Dominica,F31,1
Dominica,F32,2
Dominica,F41,3
Dominica,F42,2
Dominica,F43,4
Dominica,IR1,2
Dominica,IR2,3
Dominica,IR5,8
Dominican Republic,B23,2
Dominican Republic,CR1,331
Dominican Republic,CR2,143
Dominican Republic,EW3,1
Dominican Republic,F11,141
Dominican Republic,F12,178
Dominican Republic,F21,247
Dominican Republic,F22,92
Dominican Republic,F23,140
Dominican Republic,F24,228
Dominican Republic,F25,316
Dominican Republic,F31,11
Dominican Republic,F32,10
Dominican Republic,F33,14
Dominican Republic,F41,54
Dominican Republic,F42,28
Dominican Republic,F43,62
Dominican Republic,FX1,168
Dominican Republic,FX2,99
Dominican Republic,FX3,206
Dominican Republic,IB2,2
Dominican Republic,IB3,1
Dominican Republic,IH3,1
Dominican Republic,IR1,311
Dominican Republic,IR2,373
Dominican Republic,IR5,444
Dominican Republic,IW1,2
Dominican Republic,IW2,3
Dominican Republic,SB1,7
Dominican Republic,SE1,1
Dominican Republic,SE2,1
Dominican Republic,SE3,2
Ecuador,CR1,55
Ecuador,CR2,19
Ecuador,DV1,5
Ecuador,DV2,2
Ecuador,DV3,1
Ecuador,E31,1
Ecuador,E34,3
Ecuador,E35,3
Ecuador,EW3,1
Ecuador,EW5,1
Ecuador,F11,31
Ecuador,F12,33
Ecuador,F21,10
Ecuador,F22,13
Ecuador,F23,12
Ecuador,F24,30
Ecuador,F25,14
Ecuador,F31,7
Ecuador,F32,6
Ecuador,F33,14
Ecuador,F41,22
Ecuador,F42,14
Ecuador,F43,30
Ecuador,FX1,16
Ecuador,FX2,11
Ecuador,FX3,2
Ecuador,IB3,3
Ecuador,IH3,4
Ecuador,IR1,206
Ecuador,IR2,70
Ecuador,IR5,99
Ecuador,SB1,1
Ecuador,SU3,4
Egypt,CR1,23
Egypt,DV1,88
Egypt,DV2,61
Egypt,DV3,104
Egypt,E21,1
Egypt,E22,1
Egypt,E23,2
Egypt,E31,2
Egypt,E34,1
Egypt,F11,1
Egypt,F12,3
Egypt,F21,20
Egypt,F22,16
Egypt,F24,3
Egypt,F31,6
Egypt,F32,6
Egypt,F33,9
Egypt,F41,13
Egypt,F42,10
Egypt,F43,14
Egypt,FX1,6
Egypt,FX2,6
Egypt,FX3,2
Egypt,IR1,22
Egypt,IR2,23
Egypt,IR5,47
Egypt,SE1,3
Egypt,SE2,1
Egypt,SE3,5
Egypt,T51,1
Egypt,T52,1
Egypt,T53,3
El Salvador,B22,1
El Salvador,CR1,84
El Salvador,CR2,33
El Salvador,E31,1
El Salvador,F11,71
El Salvador,F12,54
El Salvador,F21,32
El Salvador,F22,17
El Salvador,F23,13
El Salvador,F24,60
El Salvador,F25,36
El Salvador,F31,13
El Salvador,F32,12
El Salvador,F33,18
El Salvador,F41,28
El Salvador,F42,14
El Salvador,F43,36
El Salvador,FX1,96
El Salvador,FX2,43
El Salvador,FX3,72
El Salvador,IB3,3
El Salvador,IH3,1
El Salvador,IR1,385
El Salvador,IR2,151
El Salvador,IR5,158
El Salvador,SU3,2
Eritrea,CR1,8
Eritrea,DV1,3
Eritrea,F11,3
Eritrea,F21,8
Eritrea,F22,1
Eritrea,F23,1
Eritrea,FX1,2
Eritrea,FX2,3
Eritrea,IR1,7
Eritrea,IR2,3
Eritrea,IR5,7
Estonia,CR1,1
Estonia,E14,1
Estonia,IR5,1
Ethiopia,CR1,56
Ethiopia,DV1,107
Ethiopia,DV2,23
Ethiopia,DV3,24
Ethiopia,E11,2
Ethiopia,E14,2
Ethiopia,E15,3
Ethiopia,F11,10
Ethiopia,F12,1
Ethiopia,F21,22
Ethiopia,F22,23
Ethiopia,F24,11
Ethiopia,F25,1
Ethiopia,F41,4
Ethiopia,F42,2
Ethiopia,F43,5
Ethiopia,FX1,26
Ethiopia,FX2,28
Ethiopia,IR1,22
Ethiopia,IR2,25
Ethiopia,IR3,12
Ethiopia,IR4,2
Ethiopia,IR5,70
Ethiopia,SE1,2
Ethiopia,SE2,2
Ethiopia,SE3,8
Fiji,CR1,5
Fiji,DV1,3
Fiji,DV2,3
Fiji,DV3,12
Fiji,F11,2
Fiji,F12,2
Fiji,F24,1
Fiji,F31,2
Fiji,F32,2
Fiji,F33,2
Fiji,F41,2
Fiji,F42,2
Fiji,FX1,1
Fiji,IR1,1
Fiji,IR5,6
Finland,E31,1
Finland,E34,1
Finland,IR1,1
France,CR1,6
France,CR2,1
France,DV1,6
France,DV3,2
France,E11,2
France,E14,1
France,E15,2
France,E23,1
France,F11,1
France,F12,2
France,FX1,2
France,FX2,1
France,I51,5
France,I52,5
France,I53,6
France,IR1,11
France,IR2,1
France,IR5,2
Gabon,F11,1
Gabon,FX1,1
Gabon,IR2,1
Gabon,IR5,1
"Gambia, The",CR1,3
"Gambia, The",F22,2
"Gambia, The",F24,1
"Gambia, The",F25,1
"Gambia, The",IR1,4
"Gambia, The",IR2,8
"Gambia, The",IR5,11
"Gambia, The",SE3,2
Georgia,CR1,5
Georgia,DV1,14
Georgia,DV2,5
Georgia,DV3,8
Georgia,F11,1
Georgia,F12,1
Georgia,F21,2
Georgia,F22,2
Georgia,F23,1
Georgia,F24,1
Georgia,F41,1
Georgia,IR1,3
Georgia,IR2,2
Georgia,IR5,8
Germany,CR1,23
Germany,CR2,2
Germany,DV1,5
Germany,DV2,4
Germany,DV3,3
Germany,E11,3
Germany,E15,1
Germany,F11,1
Germany,F12,2
Germany,F21,1
Germany,F24,1
Germany,F32,1
Germany,F33,3
Germany,FX1,3
Germany,I51,1
Germany,I53,2
Germany,IR1,21
Germany,IR2,1
Germany,IR5,4
Ghana,CR1,46
Ghana,CR2,1
Ghana,DV1,25
Ghana,DV2,9
Ghana,DV3,14
Ghana,E31,1
Ghana,E34,1
Ghana,F11,18
Ghana,F12,9
Ghana,F21,22
Ghana,F22,20
Ghana,F23,3
Ghana,F24,2
Ghana,F31,7
Ghana,F32,7
Ghana,F33,10
Ghana,F41,11
Ghana,F42,7
Ghana,F43,7
Ghana,FX1,10
Ghana,FX2,15
Ghana,FX3,9
Ghana,IB3,1
Ghana,IR1,75
Ghana,IR2,102
Ghana,IR3,4
Ghana,IR5,82
Great Britain and Northern Ireland,CR1,28
Great Britain and Northern Ireland,CR2,1
Great Britain and Northern Ireland,E11,4
Great Britain and Northern Ireland,E14,3
Great Britain and Northern Ireland,E15,3
Great Britain and Northern Ireland,E21,1
Great Britain and Northern Ireland,E23,2
Great Britain and Northern Ireland,E31,3
Great Britain and Northern Ireland,E34,1
Great Britain and Northern Ireland,E35,7
Great Britain and Northern Ireland,EW3,1
Great Britain and Northern Ireland,EW5,1
Great Britain and Northern Ireland,F11,1
Great Britain and Northern Ireland,F12,3
Great Britain and Northern Ireland,F21,2
Great Britain and Northern Ireland,F22,1
Great Britain and Northern Ireland,F24,1
Great Britain and Northern Ireland,F33,3
Great Britain and Northern Ireland,F41,2
Great Britain and Northern Ireland,F42,2
Great Britain and Northern Ireland,F43,7
Great Britain and Northern Ireland,FX2,2
Great Britain and Northern Ireland,I53,3
Great Britain and Northern Ireland,IR1,32
Great Britain and Northern Ireland,IR2,5
Great Britain and Northern Ireland,IR5,12
Great Britain and Northern Ireland,SB1,1
Greece,CR1,3
Greece,CR2,1
Greece,DV3,2
Greece,E11,2
Greece,E14,1
Greece,IR1,10
Greece,IR2,5
Greece,IR5,5
Grenada,E31,2
Grenada,E34,1
Grenada,F31,2
Grenada,F33,1
Grenada,FX2,1
Grenada,IR1,3
Grenada,IR2,3
Grenada,IR3,2
Grenada,IR5,3
Guatemala,CR1,23
Guatemala,CR2,1
Guatemala,DV1,1
Guatemala,E34,1
Guatemala,F11,21
Guatemala,F12,12
Guatemala,F21,12
Guatemala,F22,8
Guatemala,F23,4
Guatemala,F24,22
Guatemala,F25,7
Guatemala,F31,5
Guatemala,F32,4
Guatemala,F33,5
Guatemala,F41,14
Guatemala,F42,7
Guatemala,F43,12
Guatemala,FX1,70
Guatemala,FX2,14
Guatemala,FX3,44
Guatemala,IR1,180
Guatemala,IR2,36
Guatemala,IR5,33
Guatemala,IW1,1
Guatemala,SB1,1
Guatemala,SU3,1
Guinea,CR1,8
Guinea,DV1,4
Guinea,DV2,4
Guinea,DV3,5
Guinea,F11,2
Guinea,F12,1
Guinea,FX1,1
Haiti,F42,11
Haiti,F43,38
Haiti,FX1,93
Haiti,FX2,83
Haiti,FX3,76
Haiti,IH3,11
Haiti,IR1,94
Haiti,IR2,143
Haiti,IR3,2
Haiti,IR5,160
Haiti,IW1,1
Haiti,IW2,3
Haiti,SB1,5
Haiti,SE1,1
Haiti,SE3,4
Honduras,B23,3
Honduras,CR1,10
Honduras,CR2,6
Honduras,F11,24
Honduras,F12,12
Honduras,F21,6
Honduras,F22,3
Honduras,F23,2
Honduras,F24,5
Honduras,F25,5
Honduras,F31,3
Honduras,F32,4
Honduras,F33,7
Honduras,F41,4
Honduras,F42,3
Honduras,F43,10
Honduras,FX1,24
Honduras,FX2,13
Honduras,FX3,16
Honduras,IR1,140
Honduras,IR2,47
Honduras,IR3,3
Honduras,IR5,13
Honduras,IW1,1
Honduras,SU3,1
Hong Kong S.A.R.,CR1,4
Hong Kong S.A.R.,DV1,2
Hong Kong S.A.R.,E31,1
Hong Kong S.A.R.,E34,2
Hong Kong S.A.R.,E35,2
Hong Kong S.A.R.,F11,1
Hong Kong S.A.R.,F12,1
Hong Kong S.A.R.,F21,1
Hong Kong S.A.R.,F23,1
Hong Kong S.A.R.,F24,1
Hong Kong S.A.R.,F25,1
Hong Kong S.A.R.,F31,1
Hong Kong S.A.R.,F32,1
Hong Kong S.A.R.,F33,2
Hong Kong S.A.R.,F41,12
Hong Kong S.A.R.,F42,8
Hong Kong S.A.R.,F43,21
Hong Kong S.A.R.,FX1,1
Hong Kong S.A.R.,FX2,1
Hong Kong S.A.R.,FX3,1
Hong Kong S.A.R.,I51,6
Hong Kong S.A.R.,I52,4
Hong Kong S.A.R.,I53,5
Hong Kong S.A.R.,IR1,6
Hong Kong S.A.R.,IR2,3
Hong Kong S.A.R.,IR5,6
Hungary,CR1,1
Hungary,F11,2
Hungary,F21,1
Hungary,F22,1
Hungary,IH3,1
Hungary,IR1,2
Hungary,IR5,6
Hungary,SR1,1
India,CR1,160
India,CR2,3
India,E11,3
India,E13,2
India,E14,10
India,E15,9
India,E23,2
India,E31,8
India,E34,7
India,E35,13
India,EW3,2
India,EW4,2
India,EW5,1
India,F11,17
India,F12,2
India,F21,36
India,F22,10
India,F23,5
India,F24,9
India,F31,54
India,F32,55
India,F33,78
India,F41,368
India,F42,314
India,F43,502
India,FX1,29
India,FX2,11
India,FX3,8
India,I51,13
India,I52,10
India,I53,8
India,IB2,1
India,IH3,30
India,IR1,63
India,IR2,27
India,IR5,504
India,SB1,4
India,SD1,1
India,SR1,1
India,T51,1
India,T52,1
India,T53,2
Indonesia,CR1,11
Indonesia,CR2,1
Indonesia,DV1,5
Indonesia,DV2,3
Indonesia,DV3,5
Indonesia,F11,1
Indonesia,F21,1
Indonesia,F23,1
Indonesia,F41,2
Indonesia,F42,1
Indonesia,I51,1
Indonesia,IR1,3
Indonesia,IR2,2
Indonesia,IR5,5
Iran,CR1,3
Iran,DV1,20
Iran,DV2,7
Iran,DV3,4
Iran,E11,1
Iran,E14,1
Iran,E15,1
Iran,E21,2
Iran,E22,3
Iran,E31,1
Iran,E35,1
Iran,F11,11
Iran,F12,3
Iran,F21,2
Iran,F24,1
Iran,F31,4
Iran,F32,5
Iran,F41,5
Iran,F42,5
Iran,F43,5
Iran,FX1,2
Iran,I51,3
Iran,I52,2
Iran,I53,1
Iran,IR1,1
Iran,IR2,4
Iran,IR5,34
Iran,IW1,1
Iran,SB1,2
Iran,SQ2,2
Iraq,CR1,25
Iraq,DV1,7
Iraq,DV2,4
Iraq,DV3,5
Iraq,E31,1
Iraq,E34,1
Iraq,F11,2
Iraq,F21,1
Iraq,F31,2
Iraq,F32,1
Iraq,F33,4
Iraq,F41,1
Iraq,FX1,9
Iraq,FX2,1
Iraq,I51,2
Iraq,I52,2
Iraq,I53,8
Iraq,IR1,9
Iraq,IR2,7
Iraq,IR5,31
Iraq,SB1,4
Iraq,SQ1,11
Iraq,SQ2,8
Iraq,SQ3,19
Ireland,CR1,1
Ireland,DV1,2
Ireland,DV2,1
Ireland,IR1,3
Ireland,IR5,1
Israel,CR1,6
Israel,EW3,1
Israel,F11,1
Israel,F33,2
Israel,IR1,9
Israel,IR2,7
Israel,IR5,9
Israel,SE1,1
Italy,CR1,11
Italy,DV1,5
Italy,DV2,1
Italy,DV3,2
Italy,E11,2
