Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,290,0,69,9,"1,055","1,423"
Angola,15,0,16,0,6,37
Benin,41,0,17,0,223,281
Botswana,5,0,2,0,1,8
Burkina Faso,77,0,19,4,220,320
Burundi,26,0,7,0,28,61
Cameroon,603,3,273,5,"1,588","2,472"
Cape Verde,427,0,888,2,7,"1,324"
Central African Republic,1,0,7,0,3,11
Chad,9,0,2,0,10,21
Comoros,0,0,2,0,1,3
"Congo, Dem. Rep. of the",457,2,88,1,"2,231","2,779"
"Congo, Rep. of the",21,1,6,0,47,75
Cote d'Ivoire,283,1,131,6,319,740
Djibouti,10,0,2,2,18,32
Egypt,"1,718",18,889,136,"3,362","6,123"
Equatorial Guinea,1,0,0,0,0,1
Eritrea,401,1,144,20,242,808
Ethiopia,"4,404",10,"1,410",104,"2,389","8,317"
Gabon,10,0,3,0,6,19
"Gambia, The",196,0,72,5,11,284
Ghana,"3,409",11,"1,279",74,"1,876","6,649"
Guinea,212,0,79,4,257,552
Guinea-Bissau,18,0,2,4,4,28
Kenya,"1,324",4,348,85,"1,224","2,985"
Lesotho,7,0,0,0,0,7
Liberia,741,9,346,6,"1,230","2,332"
Libya,86,3,12,1,61,163
Madagascar,19,0,1,13,13,46
Malawi,24,1,8,1,15,49
Mali,104,0,34,4,27,169
Mauritania,39,1,24,0,7,71
Mauritius,12,2,8,0,4,26
Morocco,"1,278",4,303,5,889,"2,479"
Mozambique,9,0,2,0,0,11
Namibia,9,0,0,0,7,16
Niger,25,0,12,1,18,56
Nigeria,"4,402",23,"1,959",146,"3,252","9,782"
Rwanda,32,0,15,0,155,202
Sao Tome and Principe,1,0,2,0,0,3
Senegal,352,0,146,15,88,601
Seychelles,2,0,1,0,0,3
Sierra Leone,494,4,146,6,719,"1,369"
Somalia,836,0,123,10,78,"1,047"
South Africa,297,14,62,74,285,732
South Sudan,70,1,1,0,0,72
Sudan,474,3,92,15,435,"1,019"
Swaziland,3,0,0,0,0,3
Tanzania,108,0,34,16,45,203
Togo,484,4,108,3,511,"1,110"
Tunisia,185,7,6,7,40,245
Uganda,492,0,94,26,198,810
Zambia,56,0,27,2,34,119
Zimbabwe,109,1,35,12,60,217
Region Total For Africa,"24,708",128,"9,356",824,"23,299","58,315"
Asia,,,,,,
Afghanistan,450,"1,597",278,48,59,"2,432"
Bahrain,13,0,5,1,4,23
Bangladesh,"4,112",14,"6,474",93,0,"10,693"
Bhutan,3,0,7,0,8,18
Brunei,3,0,0,1,0,4
Burma,532,0,458,16,262,"1,268"
Cambodia,"1,000",0,385,21,399,"1,805"
China - mainland born,"11,592",81,"13,146","8,006",0,"32,825"
