Foreign State of Chargeability,,
or Place of Birth,Visa Class,Issuances
Bosnia and Herzegovina,IR5,4
Botswana,CR1,1
Brazil,CR1,53
Brazil,CR2,4
Brazil,E11,4
Brazil,E14,5
Brazil,E15,7
Brazil,E21,1
Brazil,E23,1
Brazil,E31,5
Brazil,E34,4
Brazil,E35,4
Brazil,F11,13
Brazil,F12,4
Brazil,F21,3
Brazil,F22,1
Brazil,F31,4
Brazil,F32,2
Brazil,F33,2
Brazil,F41,4
Brazil,F42,2
Brazil,F43,3
Brazil,FX1,9
Brazil,FX2,7
Brazil,I51,2
Brazil,I52,2
Brazil,I53,3
Brazil,IR1,96
Brazil,IR2,36
Brazil,IR5,72
Brazil,IW1,2
Brazil,SE1,3
Brazil,SE2,3
British Virgin Islands,F41,2
Brunei,IR2,1
Bulgaria,CR1,3
Bulgaria,DV1,17
Bulgaria,DV2,6
Bulgaria,DV3,4
Bulgaria,E13,1
Bulgaria,E14,1
Bulgaria,E31,1
Bulgaria,F11,3
Bulgaria,F12,1
Bulgaria,F21,3
Bulgaria,F41,1
Bulgaria,F42,1
Bulgaria,FX2,1
Bulgaria,IB1,1
Bulgaria,IH3,13
Bulgaria,IR1,2
Bulgaria,IR2,1
Bulgaria,IR5,21
Burkina Faso,IH3,1
Burkina Faso,IR1,1
Burkina Faso,IR2,2
Burkina Faso,IR5,3
Burma,CR1,6
Burma,DV1,4
Burma,F11,1
Burma,F21,1
Burma,F22,2
Burma,F24,3
Burma,F25,1
Burma,F31,2
Burma,F32,3
Burma,F33,3
Burma,F41,5
Burma,F42,3
Burma,F43,2
Burma,FX1,4
Burma,FX3,1
Burma,IR1,1
Burma,IR5,19
Burundi,CR1,2
Burundi,DV1,4
Burundi,IH3,1
Burundi,IR1,3
Burundi,IR2,1
Burundi,IR5,3
Cabo Verde,CR2,3
Cabo Verde,F11,14
Cabo Verde,F12,18
Cabo Verde,F21,2
Cabo Verde,F22,7
Cabo Verde,F23,1
Cabo Verde,F24,21
Cabo Verde,F25,21
Cabo Verde,F31,1
Cabo Verde,F32,1
Cabo Verde,F33,3
Cabo Verde,F41,3
Cabo Verde,F42,1
Cabo Verde,F43,3
Cabo Verde,FX1,4
Cabo Verde,FX2,2
Cabo Verde,FX3,5
Cabo Verde,IR2,9
Cabo Verde,IR5,14
Cambodia,CR1,25
Cambodia,CR2,2
Cambodia,DV1,4
Cambodia,DV2,1
Cambodia,DV3,2
Cambodia,F11,6
Cambodia,F12,2
Cambodia,F24,2
Cambodia,F33,1
Cambodia,F41,1
Cambodia,F43,2
Cambodia,FX1,1
Cambodia,FX2,3
Cambodia,IR1,27
Cambodia,IR2,11
Cambodia,IR5,70
Cambodia,SE1,8
Cambodia,SE2,8
Cambodia,SE3,20
Cameroon,CR1,14
Cameroon,DV1,71
Cameroon,DV2,14
Cameroon,DV3,29
Cameroon,E34,1
Cameroon,F11,3
Cameroon,F12,1
Cameroon,F21,4
Cameroon,F22,4
Cameroon,F23,5
Cameroon,F24,2
Cameroon,F25,1
Cameroon,F41,2
Cameroon,F42,2
Cameroon,F43,3
Cameroon,FX1,5
Cameroon,FX2,7
Cameroon,FX3,6
Cameroon,IB2,1
Cameroon,IB3,3
Cameroon,IR1,6
Cameroon,IR2,19
Cameroon,IR5,47
Cameroon,SB1,1
Canada,CR1,37
Canada,CR2,6
Canada,E11,6
Canada,E14,1
Canada,E15,3
Canada,E21,2
Canada,E31,3
Canada,EW3,1
Canada,F11,3
Canada,F12,3
Canada,F22,2
Canada,F23,2
Canada,F24,1
Canada,F25,2
Canada,F31,1
Canada,F32,1
Canada,F33,1
Canada,F43,3
Canada,FX1,3
Canada,FX3,6
Canada,I51,4
Canada,I52,4
Canada,I53,7
Canada,IB2,1
Canada,IR1,29
Canada,IR2,16
Canada,IR5,9
Cayman Islands,F33,2
Cayman Islands,IR2,1
Chad,IR1,1
Chile,CR1,2
Chile,F11,1
Chile,F21,2
Chile,F31,1
Chile,F32,1
Chile,F33,2
Chile,F41,2
Chile,FX1,1
Chile,FX3,1
Chile,IR1,3
Chile,IR5,5
Chile,SB1,2
China - mainland born,C51,2
China - mainland born,C53,1
China - mainland born,CR1,134
China - mainland born,CR2,30
China - mainland born,E11,63
China - mainland born,E13,1
China - mainland born,E14,55
China - mainland born,E15,87
China - mainland born,E21,3
China - mainland born,E22,4
China - mainland born,E23,7
China - mainland born,E31,7
China - mainland born,E34,11
China - mainland born,E35,9
China - mainland born,EW4,2
China - mainland born,F11,36
China - mainland born,F12,12
China - mainland born,F21,92
China - mainland born,F22,45
China - mainland born,F23,3
China - mainland born,F24,30
China - mainland born,F25,9
China - mainland born,F31,51
China - mainland born,F32,49
China - mainland born,F33,58
China - mainland born,F41,116
China - mainland born,F42,92
China - mainland born,F43,104
China - mainland born,FX1,103
China - mainland born,FX2,60
China - mainland born,FX3,7
China - mainland born,I51,172
China - mainland born,I52,120
China - mainland born,I53,207
China - mainland born,IB3,2
China - mainland born,IH3,127
China - mainland born,IR1,153
China - mainland born,IR2,42
China - mainland born,IR5,458
China - mainland born,SB1,7
China - mainland born,SE1,2
China - mainland born,T51,1
China - mainland born,T52,1
China - mainland born,T53,1
China - Taiwan born,CR1,7
China - Taiwan born,DV1,2
China - Taiwan born,DV2,1
China - Taiwan born,DV3,2
China - Taiwan born,E21,9
China - Taiwan born,E22,6
China - Taiwan born,E23,2
China - Taiwan born,E35,2
China - Taiwan born,F11,10
China - Taiwan born,F12,2
China - Taiwan born,F21,3
China - Taiwan born,F24,3
China - Taiwan born,F31,1
China - Taiwan born,F32,1
China - Taiwan born,F33,2
China - Taiwan born,F41,16
China - Taiwan born,F42,10
China - Taiwan born,F43,17
China - Taiwan born,FX1,2
China - Taiwan born,FX2,1
China - Taiwan born,I51,16
China - Taiwan born,I52,12
China - Taiwan born,I53,20
China - Taiwan born,IR1,11
China - Taiwan born,IR2,3
China - Taiwan born,IR5,19
China - Taiwan born,T51,1
Colombia,CR1,53
Colombia,CR2,29
Colombia,E21,1
Colombia,E22,1
Colombia,F11,29
Colombia,F12,9
Colombia,F21,2
Colombia,F22,6
Colombia,F24,26
Colombia,F25,16
Colombia,F31,5
Colombia,F32,4
Colombia,F33,7
Colombia,F41,25
Colombia,F42,18
Colombia,F43,28
Colombia,FX1,13
Colombia,FX2,12
Colombia,FX3,5
Colombia,IH3,7
Colombia,IR1,61
Colombia,IR2,76
Colombia,IR5,110
Colombia,IW1,1
Colombia,SB1,2
"Congo, Democratic Republic of the",CR1,5
"Congo, Democratic Republic of the",DV1,50
"Congo, Democratic Republic of the",DV2,23
"Congo, Democratic Republic of the",DV3,46
"Congo, Democratic Republic of the",F11,2
"Congo, Democratic Republic of the",F12,1
"Congo, Democratic Republic of the",F21,6
"Congo, Democratic Republic of the",F22,5
"Congo, Democratic Republic of the",FX1,6
"Congo, Democratic Republic of the",FX2,10
"Congo, Democratic Republic of the",IR1,2
"Congo, Democratic Republic of the",IR2,3
"Congo, Democratic Republic of the",IR3,1
"Congo, Democratic Republic of the",IR5,22
"Congo, Republic of the",DV1,1
"Congo, Republic of the",DV2,1
"Congo, Republic of the",FX2,1
"Congo, Republic of the",IR2,2
"Congo, Republic of the",IR5,3
Costa Rica,CR1,6
Costa Rica,E21,1
Costa Rica,EW3,1
Costa Rica,EW4,1
Costa Rica,F11,5
Costa Rica,F12,3
Costa Rica,F21,1
Costa Rica,F24,3
Costa Rica,F25,5
Costa Rica,F41,2
Costa Rica,F42,1
Costa Rica,F43,1
Costa Rica,FX1,2
Costa Rica,IR1,25
Costa Rica,IR2,8
Costa Rica,IR5,8
Cote d'Ivoire,CR1,5
Cote d'Ivoire,DV1,10
Cote d'Ivoire,DV2,3
Cote d'Ivoire,DV3,3
Cote d'Ivoire,F11,1
Cote d'Ivoire,FX1,3
Cote d'Ivoire,FX3,3
Cote d'Ivoire,IR1,4
Cote d'Ivoire,IR2,8
Cote d'Ivoire,IR3,4
Cote d'Ivoire,IR5,5
Cote d'Ivoire,SE1,1
Croatia,DV1,2
Croatia,DV2,1
Croatia,E11,1
Croatia,F33,4
Croatia,F41,1
Croatia,IR1,3
Croatia,IR2,1
Croatia,IR5,1
Cuba,CR1,28
Cuba,CR2,8
Cuba,DV1,7
Cuba,DV2,3
Cuba,DV3,3
Cuba,F11,4
Cuba,F12,1
Cuba,F21,30
Cuba,F22,25
Cuba,F23,20
Cuba,F24,2
Cuba,F31,1
Cuba,F32,1
Cuba,F33,1
Cuba,FX1,178
Cuba,FX2,140
Cuba,FX3,131
Cuba,IR1,13
Cuba,IR2,36
Cuba,IR5,251
Curacao,IR5,1
Cyprus,CR1,1
Cyprus,E34,1
Cyprus,FX2,1
Czech Republic,DV1,3
Czech Republic,DV2,1
Czech Republic,IR1,3
Czech Republic,IR2,1
Denmark,CR1,1
Denmark,DV1,1
Denmark,DV2,1
Denmark,DV3,1
Denmark,E21,1
Denmark,E22,1
Denmark,FX3,1
Denmark,IR1,2
Djibouti,CR1,1
Djibouti,IR5,2
Dominica,CR1,3
Dominica,E31,2
Dominica,E34,1
Dominica,E35,3
Dominica,F11,3
Dominica,F12,2
Dominica,F24,1
Dominica,F25,1
Dominica,F41,1
Dominica,FX1,2
Dominica,IR2,4
Dominica,IR5,5
Dominican Republic,CR1,338
Dominican Republic,CR2,150
Dominican Republic,F11,194
Dominican Republic,F12,230
Dominican Republic,F21,172
Dominican Republic,F22,76
Dominican Republic,F23,89
Dominican Republic,F24,480
Dominican Republic,F25,570
Dominican Republic,F31,15
Dominican Republic,F32,14
Dominican Republic,F33,38
Dominican Republic,F41,46
Dominican Republic,F42,24
Dominican Republic,F43,58
Dominican Republic,FX1,214
Dominican Republic,FX2,88
Dominican Republic,FX3,182
Dominican Republic,IB1,1
Dominican Republic,IB3,3
Dominican Republic,IH3,1
Dominican Republic,IR1,290
Dominican Republic,IR2,313
Dominican Republic,IR5,400
Dominican Republic,IW1,4
Dominican Republic,IW2,4
Dominican Republic,SB1,3
Dominican Republic,SE1,1
Ecuador,CR1,38
Ecuador,CR2,12
Ecuador,DV1,11
Ecuador,DV2,5
Ecuador,DV3,5
Ecuador,E31,1
Ecuador,E32,1
Ecuador,E34,1
Ecuador,E35,1
Ecuador,EW3,2
Ecuador,EW5,1
Ecuador,F11,31
Ecuador,F12,20
Ecuador,F21,9
Ecuador,F22,6
Ecuador,F23,11
Ecuador,F24,32
Ecuador,F25,25
Ecuador,F31,5
Ecuador,F32,4
Ecuador,F33,5
Ecuador,F41,15
Ecuador,F42,6
Ecuador,F43,21
Ecuador,FX1,17
Ecuador,FX2,10
Ecuador,FX3,7
Ecuador,IR1,153
Ecuador,IR2,77
Ecuador,IR5,123
Ecuador,IW1,1
Ecuador,SB1,1
Ecuador,SE1,1
Ecuador,SE3,1
Ecuador,SU3,2
Egypt,CR1,41
Egypt,DV1,99
Egypt,DV2,67
Egypt,DV3,126
Egypt,E11,2
Egypt,E14,1
Egypt,E15,3
Egypt,E21,2
Egypt,E22,1
Egypt,E23,6
Egypt,E31,1
Egypt,F11,3
Egypt,F21,4
Egypt,F22,2
Egypt,F31,2
Egypt,F32,2
Egypt,F33,3
Egypt,F41,14
Egypt,F42,9
Egypt,F43,13
Egypt,FX1,6
Egypt,FX2,14
Egypt,I51,1
Egypt,I52,2
Egypt,I53,4
Egypt,IR1,40
Egypt,IR2,59
Egypt,IR5,63
El Salvador,CR1,98
El Salvador,CR2,47
El Salvador,E31,1
El Salvador,F11,61
El Salvador,F12,41
El Salvador,F21,28
El Salvador,F22,15
El Salvador,F23,19
El Salvador,F24,64
El Salvador,F25,46
El Salvador,F31,4
El Salvador,F32,3
El Salvador,F33,9
El Salvador,F41,25
El Salvador,F42,11
El Salvador,F43,20
El Salvador,FX1,80
El Salvador,FX2,51
El Salvador,FX3,42
El Salvador,IR1,424
El Salvador,IR2,170
El Salvador,IR5,185
El Salvador,SU3,2
Equatorial Guinea,DV1,1
Equatorial Guinea,DV2,1
Eritrea,CR1,21
Eritrea,DV1,7
Eritrea,DV2,1
Eritrea,DV3,1
Eritrea,F11,2
Eritrea,F21,2
Eritrea,F22,1
Eritrea,FX1,2
Eritrea,FX2,1
Eritrea,IR1,10
Eritrea,IR2,3
Eritrea,IR5,15
Eritrea,SE1,2
Eritrea,SE2,1
Estonia,CR1,1
Estonia,DV1,1
Estonia,DV2,1
Estonia,DV3,1
Ethiopia,CR1,108
Ethiopia,DV1,154
Ethiopia,DV2,35
Ethiopia,DV3,39
Ethiopia,F11,5
Ethiopia,F12,1
Ethiopia,F21,2
Ethiopia,F22,2
Ethiopia,F24,3
Ethiopia,F25,1
Ethiopia,F41,2
Ethiopia,F42,2
Ethiopia,F43,4
Ethiopia,FX1,8
Ethiopia,FX2,18
Ethiopia,FX3,2
Ethiopia,I52,1
Ethiopia,IR1,75
Ethiopia,IR2,66
Ethiopia,IR3,23
Ethiopia,IR5,176
Ethiopia,SB1,1
Ethiopia,SE1,3
Ethiopia,SE2,3
Ethiopia,SE3,8
Fiji,CR1,9
Fiji,DV1,6
Fiji,DV2,3
Fiji,DV3,7
Fiji,F11,2
Fiji,F31,2
Fiji,F32,2
Fiji,F33,4
Fiji,FX2,1
Fiji,IR2,1
Fiji,IR5,5
Finland,CR1,1
Finland,CR2,2
Finland,DV1,1
Finland,E11,1
Finland,IR1,2
France,CR1,15
France,CR2,4
France,DV1,10
France,DV2,1
France,E11,1
France,E14,1
France,E15,3
France,E21,2
France,E22,1
France,E23,1
France,E32,1
France,E34,1
France,F11,1
France,F12,2
France,F21,1
France,F24,2
France,F43,3
France,I51,2
France,I52,2
France,I53,7
France,IR1,15
France,IR2,8
France,IR5,4
Gabon,FX1,1
"Gambia, The",CR1,2
"Gambia, The",F21,1
"Gambia, The",F22,3
"Gambia, The",F24,2
"Gambia, The",F25,2
"Gambia, The",IR1,5
"Gambia, The",IR2,11
"Gambia, The",IR3,1
"Gambia, The",IR5,8
Georgia,CR1,3
Georgia,CR2,3
Georgia,DV1,27
Georgia,DV2,12
Georgia,DV3,17
Georgia,F11,2
Georgia,F21,2
Georgia,F22,1
Georgia,F23,1
Georgia,F31,1
Georgia,F32,1
Georgia,F33,2
Georgia,FX1,1
Georgia,IR1,4
Georgia,IR2,2
Georgia,IR5,18
Georgia,SE1,2
Georgia,SE2,2
Georgia,SE3,4
Germany,CR1,31
Germany,CR2,1
Germany,DV1,11
Germany,DV2,8
Germany,DV3,8
Germany,E15,3
Germany,E21,1
Germany,E22,2
Germany,E23,1
Germany,E31,2
Germany,E34,2
Germany,F11,1
Germany,F21,1
Germany,F32,1
Germany,FX1,1
Germany,IR1,34
Germany,IR2,3
Germany,IR5,10
Ghana,CR1,105
Ghana,CR2,5
Ghana,DV1,25
Ghana,DV2,7
Ghana,DV3,11
Ghana,F11,20
Ghana,F12,8
Ghana,F21,13
Ghana,F22,9
Ghana,F23,6
Ghana,F24,3
Ghana,F31,1
Ghana,F32,1
Ghana,F33,3
Ghana,F41,1
Ghana,F42,1
Ghana,F43,1
Ghana,FX1,14
Ghana,FX2,16
Ghana,FX3,10
Ghana,I51,1
Ghana,I52,1
Ghana,I53,1
Ghana,IB2,1
Ghana,IR1,110
Ghana,IR2,122
Ghana,IR3,2
Ghana,IR5,108
Ghana,IW1,1
Great Britain and Northern Ireland,CR1,43
Great Britain and Northern Ireland,E11,1
Great Britain and Northern Ireland,E13,1
Great Britain and Northern Ireland,E14,4
Great Britain and Northern Ireland,E15,6
Great Britain and Northern Ireland,E21,2
Great Britain and Northern Ireland,E23,2
Great Britain and Northern Ireland,E31,2
Great Britain and Northern Ireland,E34,1
Great Britain and Northern Ireland,E35,7
Great Britain and Northern Ireland,F11,7
Great Britain and Northern Ireland,F12,3
Great Britain and Northern Ireland,F24,1
Great Britain and Northern Ireland,F25,1
Great Britain and Northern Ireland,F31,2
Great Britain and Northern Ireland,F32,2
Great Britain and Northern Ireland,F33,7
Great Britain and Northern Ireland,F41,2
Great Britain and Northern Ireland,F43,6
Great Britain and Northern Ireland,FX2,1
Great Britain and Northern Ireland,I51,3
Great Britain and Northern Ireland,I52,2
Great Britain and Northern Ireland,I53,2
Great Britain and Northern Ireland,IR1,41
Great Britain and Northern Ireland,IR2,7
Great Britain and Northern Ireland,IR5,17
Great Britain and Northern Ireland,SB1,1
Greece,CR1,1
Greece,DV1,3
Greece,DV2,3
Greece,DV3,3
Greece,E21,1
Greece,F43,1
Greece,IR1,3
Greece,IR2,1
Greece,IR5,3
Grenada,CR1,3
Grenada,E22,1
Grenada,F11,1
Grenada,F12,1
Grenada,F24,1
Grenada,F25,1
Grenada,F41,1
Grenada,IR1,3
Grenada,IR2,8
Grenada,IR3,1
Grenada,IR5,7
Grenada,IW1,1
Guatemala,B23,1
Guatemala,CR1,38
Guatemala,CR2,5
Guatemala,DV1,2
Guatemala,DV3,1
Guatemala,EW3,1
Guatemala,EW4,2
Guatemala,EW5,6
Guatemala,F11,28
Guatemala,F12,20
Guatemala,F21,6
Guatemala,F22,8
Guatemala,F23,5
Guatemala,F24,18
Guatemala,F25,10
Guatemala,F31,2
Guatemala,F32,2
Guatemala,F33,4
Guatemala,F41,15
Guatemala,F42,7
Guatemala,F43,11
Guatemala,FX1,40
Guatemala,FX2,20
Guatemala,FX3,19
Guatemala,IR1,416
Guatemala,IR2,58
Guatemala,IR5,50
Guatemala,IW1,2
Guatemala,SB1,1
Guatemala,SU3,1
Guinea,CR1,8
Guinea,DV1,2
Guinea,F11,2
Guinea,F12,3
Guinea,FX1,2
Guinea,FX2,2
Guinea,IR1,9
Guinea,IR2,18
Guinea,IR5,26
Guyana,CR1,23
Guyana,CR2,4
Guyana,F11,55
Guyana,F12,62
Guyana,F21,6
Guyana,F23,1
Guyana,F24,12
Guyana,F25,13
Guyana,F31,13
Guyana,F32,12
Guyana,F33,12
Guyana,F41,13
Guyana,F42,9
Guyana,F43,20
Guyana,FX1,8
Guyana,FX2,6
Guyana,IR1,24
Guyana,IR2,24
Guyana,IR3,1
Guyana,IR5,30
Haiti,CR1,70
Haiti,CR2,27
Haiti,F11,70
Haiti,F12,52
Haiti,F21,18
Haiti,F22,16
Haiti,F23,4
Haiti,F24,98
Haiti,F25,111
Haiti,F31,3
Haiti,F33,3
Haiti,F41,22
Haiti,F42,9
Haiti,F43,26
Haiti,FX1,71
Haiti,FX2,67
Haiti,FX3,50
Haiti,IH3,6
Haiti,IR1,166
Haiti,IR2,237
Haiti,IR3,1
Haiti,IR5,215
Haiti,SB1,1
Haiti,SE1,1
Haiti,SE3,1
Honduras,CR1,25
Honduras,CR2,9
Honduras,EW3,3
Honduras,F11,14
Honduras,F12,8
Honduras,F24,2
Honduras,F25,8
Honduras,F31,4
Honduras,F32,2
Honduras,F33,1
Honduras,F41,10
Honduras,F42,4
Honduras,F43,6
Honduras,FX1,34
Honduras,FX2,7
Honduras,FX3,22
Honduras,IB3,3
Honduras,IR1,351
Honduras,IR2,82
Honduras,IR3,2
Honduras,IR5,47
Hong Kong S.A.R.,CR1,4
Hong Kong S.A.R.,DV1,3
Hong Kong S.A.R.,DV2,2
Hong Kong S.A.R.,E22,1
Hong Kong S.A.R.,F11,2
Hong Kong S.A.R.,F21,1
Hong Kong S.A.R.,F31,5
Hong Kong S.A.R.,F32,4
Hong Kong S.A.R.,F33,10
Hong Kong S.A.R.,F41,10
Hong Kong S.A.R.,F42,5
Hong Kong S.A.R.,F43,17
Hong Kong S.A.R.,FX1,1
Hong Kong S.A.R.,FX3,2
Hong Kong S.A.R.,I51,5
Hong Kong S.A.R.,I52,3
Hong Kong S.A.R.,I53,5
Hong Kong S.A.R.,IH4,1
Hong Kong S.A.R.,IR1,11
Hong Kong S.A.R.,IR2,4
Hong Kong S.A.R.,IR5,6
Hong Kong S.A.R.,SE1,1
Hong Kong S.A.R.,SE2,1
Hong Kong S.A.R.,T51,1
Hong Kong S.A.R.,T52,1
Hungary,CR1,3
Hungary,CR2,1
Hungary,DV1,1
Hungary,E11,2
Hungary,E14,2
Hungary,E15,1
Hungary,E21,1
Hungary,E35,1
Hungary,F24,1
Hungary,FX1,2
Hungary,FX2,1
Hungary,FX3,2
Hungary,I51,1
Hungary,I52,1
Hungary,I53,2
Hungary,IR1,6
Hungary,IR2,1
Hungary,IR5,4
India,CR1,355
India,CR2,13
India,E11,6
India,E13,1
India,E14,7
India,E15,10
India,E21,2
India,E22,2
India,E23,4
India,E31,8
India,E32,1
India,E34,11
India,E35,24
India,EW3,1
India,EW4,1
India,EW5,2
India,F11,23
India,F12,8
India,F21,61
India,F22,8
India,F23,4
India,F24,8
India,F31,65
India,F32,64
India,F33,87
India,F41,329
India,F42,306
India,F43,391
India,FX1,53
India,FX2,6
India,FX3,14
India,I51,13
India,I52,6
India,I53,10
India,IH3,32
India,IR1,69
India,IR2,20
India,IR5,665
India,IW1,1
India,SB1,3
India,SD2,2
India,SD3,4
India,SE1,3
India,SE2,1
India,SE3,1
India,SR2,2
India,SR3,3
India,T51,3
India,T52,3
India,T53,6
Indonesia,CR1,9
Indonesia,CR2,1
Indonesia,E31,1
Indonesia,E34,1
Indonesia,F11,2
Indonesia,F22,1
Indonesia,F31,1
Indonesia,F32,1
Indonesia,F33,3
Indonesia,FX2,1
Indonesia,IR1,11
Indonesia,IR2,3
Indonesia,IR5,8
Iran,CR1,1
Iran,CR2,1
Iran,E11,1
Iran,E14,1
Iran,E15,1
Iran,E21,1
Iran,F11,5
Iran,F21,1
Iran,F24,1
Iran,F31,1
Iran,F41,3
Iran,F42,1
Iran,FX1,1
Iran,IR1,3
Iran,IR5,10
Iran,SQ3,2
Iraq,CR1,18
Iraq,DV1,7
Iraq,DV2,4
Iraq,DV3,9
Iraq,F21,1
Iraq,F22,1
Iraq,F31,1
Iraq,F32,1
Iraq,F41,1
Iraq,F42,1
Iraq,F43,2
Iraq,FX1,11
Iraq,FX2,2
Iraq,FX3,1
Iraq,I51,1
Iraq,IR1,11
Iraq,IR2,5
Iraq,IR5,38
Iraq,SQ1,18
Iraq,SQ2,13
Iraq,SQ3,32
Ireland,CR1,1
Ireland,DV1,1
Ireland,E21,1
Ireland,E22,1
Ireland,E23,1
Ireland,IR1,2
Ireland,IR2,1
Ireland,IR5,2
Israel,CR1,4
