Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,352,0,44,5,341,742
Angola,21,0,22,0,7,50
Benin,44,1,7,1,82,135
Botswana,9,0,0,0,0,9
Burkina Faso,69,0,13,1,100,183
Burundi,20,0,3,0,11,34
Cameroon,632,3,165,6,813,"1,619"
Cape Verde,563,0,735,7,0,"1,305"
Central African Republic,5,0,3,0,0,8
Chad,10,0,12,0,3,25
Comoros,2,0,0,0,0,2
"Congo, Rep. of the",22,1,8,0,11,42
"Congo, Dem. Rep. of the",411,1,104,6,"1,219","1,741"
Cote d'Ivoire,376,2,96,21,152,647
Djibouti,21,0,1,0,8,30
Egypt,"3,125",33,724,132,"2,004","6,018"
Equatorial Guinea,5,0,0,0,0,5
Eritrea,470,0,98,26,142,736
Ethiopia,"5,695",10,"1,156",25,"1,416","8,302"
Gabon,18,0,3,0,8,29
"Gambia, The",265,1,49,24,10,349
Ghana,"4,597",13,836,69,"1,677","7,192"
Guinea,276,0,121,11,113,521
Guinea-Bissau,15,0,1,0,0,16
Kenya,993,1,232,40,711,"1,977"
Lesotho,7,0,0,0,4,11
Liberia,851,6,351,18,783,"2,009"
Libya,79,2,21,0,32,134
Madagascar,12,0,1,7,2,22
Malawi,21,0,3,2,1,27
Mali,90,0,37,16,17,160
Mauritania,53,0,36,4,3,96
Mauritius,10,0,0,0,5,15
Morocco,"1,544",2,292,24,368,"2,230"
Mozambique,16,0,6,0,2,24
Namibia,7,0,0,0,2,9
Niger,37,0,10,2,2,51
Nigeria,"5,311",38,"1,712",135,"1,850","9,046"
Rwanda,59,0,7,0,41,107
Sao Tome and Principe,5,0,2,0,0,7
Senegal,531,0,143,17,48,739
Seychelles,1,0,0,0,1,2
Sierra Leone,504,1,172,14,283,974
Somalia,784,0,108,1,28,921
South Africa,300,21,59,71,211,662
South Sudan,18,0,0,0,0,18
Sudan,777,3,78,5,304,"1,167"
Swaziland,7,0,3,0,0,10
Tanzania,143,0,43,13,51,250
Togo,547,4,111,6,279,947
Tunisia,184,3,9,3,22,221
Uganda,425,5,73,6,104,613
Zambia,79,0,21,3,13,116
Zimbabwe,75,0,27,14,37,153
Region Total For Africa,"30,493",151,"7,758",735,"13,321","52,458"
Asia,,,,,,
Afghanistan,457,237,197,13,43,947
Bahrain,18,0,11,6,10,45
Bangladesh,"5,482",14,"7,884",101,293,"13,774"
Bhutan,8,0,0,0,4,12
Brunei,0,0,0,2,0,2
Burma,545,1,439,36,189,"1,210"
Cambodia,"1,238",1,338,12,188,"1,777"
China - mainland born,"15,214",30,"17,599","7,460",0,"40,303"
#NAME?,576,4,"1,141",220,132,"2,073"
Hong Kong S.A.R,206,5,913,42,8,"1,174"
India,"12,243",82,"11,818",616,0,"24,759"
Indonesia,406,6,250,13,85,760
Iran,"2,743",20,"2,619",359,"2,385","8,126"
Iraq,609,"3,898",288,22,36,"4,853"
Israel,330,7,137,45,33,552
Japan,"1,179",21,66,246,168,"1,680"
Jordan,"2,155",14,"1,332",60,55,"3,616"
"Korea, North",5,0,1,0,0,6
"Korea, South","1,782",36,920,"1,973",0,"4,711"
Kuwait,184,1,192,16,27,420
Laos,152,0,70,7,0,229
Lebanon,746,11,808,76,93,"1,734"
Malaysia,172,3,150,24,24,373
Maldives,1,0,0,0,0,1
Mongolia,65,6,10,6,86,173
Nepal,990,15,253,141,"1,896","3,295"
Oman,4,0,6,0,2,12
Pakistan,"5,158",20,"4,745",178,0,"10,101"
Philippines,"16,795",84,"16,118","3,393",0,"36,390"
Qatar,34,0,3,0,3,40
Saudi Arabia,289,3,116,16,52,476
Singapore,56,0,36,10,9,111
Sri Lanka,295,5,153,57,192,702
Syria,851,3,921,79,72,"1,926"
Thailand,"1,102",7,287,56,17,"1,469"
Timor-Leste,2,0,0,0,0,2
United Arab Emirates,128,23,164,30,38,383
Vietnam,"8,534",18,"15,454",52,0,"24,133"
Yemen,"1,812",6,783,16,64,"2,681"
Region Total For Asia,"82,566","4,581","86,222","15,383","6,204","195,031"
Europe,,,,,,
Albania,"1,761",5,261,7,524,"2,558"
Andorra,0,0,0,0,0,0
Armenia,661,3,103,20,627,"1,414"
Austria,61,2,1,1,31,96
Azerbaijan,146,1,62,1,141,351
Belarus,221,1,74,7,279,582
Belgium,52,2,16,21,40,131
Bosnia and Herzegovina,201,3,24,5,37,270
Bulgaria,533,13,75,4,434,"1,059"
Croatia,52,1,5,5,29,92
Cyprus,12,0,6,1,2,21
Czech Republic,76,1,13,7,17,114
Denmark,43,0,7,2,13,65
Faroe Islands,0,0,0,0,0,0
Greenland,0,0,0,0,0,0
Estonia,25,0,3,0,8,36
Finland,47,1,8,3,30,89
France,370,3,113,48,142,676
French Polynesia,4,0,1,0,1,6
French Southern and Antarctic Lands,0,0,0,0,0,0
Mayotte,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0
St. Barthelemy,0,0,0,0,0,0
Saint Martin,0,0,2,0,0,2
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,334,1,37,6,293,671
Germany,"1,318",5,138,77,546,"2,084"
Great Britain and Northern Ireland,"1,757",9,427,292,0,"2,485"
Anguilla,1,0,4,0,0,5
Bermuda,7,0,5,1,0,13
British Indian Ocean Territory,0,0,0,0,0,0
British Virgin Islands,10,0,10,0,0,20
Cayman Islands,13,0,10,0,0,23
Falkland Islands,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,0
Montserrat,7,0,0,0,0,7
Pitcairn,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0
Turks and Caicos Islands,2,0,2,0,0,4
Greece,347,2,17,8,28,402
Hungary,114,4,38,12,73,241
Iceland,19,0,1,6,11,37
Ireland,149,0,24,20,66,259
Italy,385,5,94,35,169,688
Kazakhstan,201,2,29,4,229,465
Kosovo,371,0,70,2,71,514
Kyrgyzstan,109,0,11,1,173,294
Latvia,129,2,19,4,22,176
Liechtenstein,0,0,0,0,0,0
Lithuania,107,5,38,2,125,277
Luxembourg,3,0,0,0,2,5
Macedonia,307,3,159,5,68,542
Malta,7,0,2,0,0,9
Moldova,132,4,50,0,674,860
Monaco,0,0,0,0,0,0
Montenegro,144,1,27,1,5,178
Netherlands,125,3,9,21,41,199
Aruba,11,0,6,0,1,18
Curacao,7,0,6,0,2,15
Sint Maarten,10,0,10,0,0,20
Northern Ireland (DV only),0,0,0,0,13,13
Norway,39,0,6,4,4,53
Svalbard,0,0,0,0,0,0
Poland,618,14,856,50,0,"1,538"
Portugal,91,2,47,14,12,166
Macau,12,1,48,3,3,67
Romania,664,37,237,37,555,"1,530"
Russia,"2,417",21,330,98,"1,014","3,880"
San Marino,0,0,0,0,0,0
Serbia,197,1,46,11,114,369
Slovakia,58,1,24,9,14,106
Slovenia,18,0,0,0,2,20
Spain,227,6,70,19,57,379
Western Sahara,0,0,0,0,0,0
Sweden,110,1,22,18,51,202
Switzerland,90,2,11,21,43,167
Tajikistan,33,0,15,4,141,193
Turkey,495,9,111,89,792,"1,496"
Turkmenistan,29,0,4,0,65,98
Ukraine,"1,640",14,436,56,"1,421","3,567"
Uzbekistan,330,2,169,10,"3,205","3,716"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"17,459",193,"4,449","1,072","12,460","35,633"
North America,,,,,,
Antigua and Barbuda,76,0,100,1,0,177
"Bahamas, The",75,0,35,4,3,117
Barbados,56,1,67,1,3,128
Belize,123,0,180,0,0,303
Canada,"1,404",0,493,314,0,"2,211"
Costa Rica,401,0,68,5,1,475
Cuba,"3,207",17,"1,419",0,70,"4,713"
Dominica,166,0,149,6,8,329
Dominican Republic,"13,666",33,"19,811",35,0,"33,545"
El Salvador,"3,731",11,"4,867",100,0,"8,709"
Grenada,119,0,111,0,6,236
Guatemala,"1,878",11,"2,477",65,0,"4,431"
Haiti,"8,065",24,"8,382",5,0,"16,476"
Honduras,"2,353",9,"1,552",65,20,"3,999"
Jamaica,"5,870",4,"5,735",77,0,"11,686"
Mexico,"44,049",13,"32,026",318,0,"76,406"
Nicaragua,"1,174",8,640,4,7,"1,833"
Panama,256,2,178,5,7,448
Saint Kitts and Nevis,76,0,136,0,2,214
Saint Lucia,167,0,149,2,1,319
Saint Vincent and the Grenadines,94,1,60,0,1,156
Trinidad and Tobago,790,7,765,26,37,"1,625"
Region Total For North America,"87,796",141,"79,400","1,033",166,"168,536"
Oceania,,,,,,
Australia,333,9,34,42,246,664
Christmas Island,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0
Fiji,263,4,260,2,167,696
Kiribati,3,0,0,0,2,5
Marshall Islands,16,0,0,0,0,16
"Micronesia, Federated States of",0,0,0,0,0,0
Nauru,0,0,0,0,0,0
New Zealand,126,5,10,22,70,233
Cook Islands,0,0,0,0,0,0
Niue,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0
Palau,1,0,0,0,0,1
Papua New Guinea,3,0,1,0,0,4
Samoa,21,0,3,0,2,26
Solomon Islands,0,1,0,0,0,1
Tonga,34,0,24,0,1,59
Tuvalu,0,0,0,0,0,0
Vanuatu,2,0,0,0,0,2
Region Total for Oceania,802,19,332,66,488,"1,707"
South America,,,,,,
Argentina,329,5,116,24,29,503
Bolivia,370,0,175,63,27,635
Brazil,"1,530",26,255,95,0,"1,906"
Chile,245,1,58,10,4,318
Colombia,"5,583",22,"2,679",133,0,"8,417"
Ecuador,"2,817",19,"2,240",185,0,"5,261"
Guyana,"1,577",2,"2,803",5,7,"4,394"
Paraguay,69,2,13,3,5,92
Peru,"2,994",49,"2,096",166,0,"5,305"
Suriname,30,0,37,3,1,71
Uruguay,67,3,21,7,3,101
Venezuela,889,5,474,154,410,"1,932"
Region Total For South America,"16,500",134,"10,967",848,486,"28,935"
Worldwide Grand Totals,"235,616","5,219","189,128","19,137","33,125","482,300"
