Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,226,0,34,1,795,"1,056"
Angola,16,0,9,1,4,30
Benin,30,0,7,2,220,259
Botswana,2,0,0,2,9,13
Burkina Faso,22,0,13,16,103,154
Burundi,12,0,4,2,40,58
Cameroon,444,4,93,7,"1,556","2,104"
Cape Verde,418,0,756,12,0,"1,186"
Central African Republic,10,0,0,1,11,22
Chad,3,0,0,0,6,9
Comoros,0,0,0,0,3,3
"Congo, Republic of the",11,0,0,7,33,51
"Congo, Dem. Rep. of the",162,0,21,5,915,"1,103"
Cote d'Ivoire,142,0,26,2,222,392
Djibouti,11,1,0,7,9,28
Egypt,"2,113",15,786,190,"3,231","6,335"
Equatorial Guinea,5,0,0,0,2,7
Eritrea,329,0,58,26,367,780
Ethiopia,"5,100",9,811,67,"3,752","9,739"
Gabon,17,0,2,0,5,24
"Gambia, The",175,0,47,12,14,248
Ghana,"1,794",7,574,32,"2,606","5,013"
Guinea,130,0,29,0,268,427
Guinea-Bissau,11,0,2,2,0,15
Kenya,660,1,207,44,"2,367","3,279"
Lesotho,14,0,0,0,1,15
Liberia,603,4,166,9,841,"1,623"
Libya,98,0,22,0,52,172
Madagascar,15,0,3,3,15,36
Malawi,18,1,5,3,14,41
Mali,54,0,18,25,32,129
Mauritania,21,0,7,14,2,44
Mauritius,3,0,11,0,20,34
Morocco,"1,399",4,293,22,"1,763","3,481"
Mozambique,18,0,3,0,3,24
Namibia,8,0,1,0,0,9
Niger,9,0,2,6,19,36
Nigeria,"4,194",41,"1,451",105,"2,809","8,600"
Rwanda,58,0,1,1,64,124
Sao Tome and Principe,3,0,1,0,0,4
Senegal,345,0,70,32,123,570
Seychelles,4,0,0,0,0,4
Sierra Leone,573,1,94,33,307,"1,008"
Somalia,564,5,44,6,71,690
South Africa,311,2,69,84,278,744
Sudan,613,2,39,10,553,"1,217"
Swaziland,10,0,0,0,0,10
Tanzania,129,1,95,9,56,290
Togo,374,0,95,5,505,979
Tunisia,135,0,15,2,62,214
Uganda,192,0,60,8,143,403
Zambia,68,0,17,2,38,125
Zimbabwe,96,0,29,13,53,191
Region Total For Africa,"21,772",98,"6,090",830,"24,362","53,152"
Asia,,,,,,
Afghanistan,477,111,204,27,60,879
Bahrain,12,0,12,0,0,24
Bangladesh,"4,132",6,"5,922",212,"3,015","13,287"
Bhutan,16,0,2,3,0,21
Brunei,1,0,2,1,0,4
Burma,381,2,500,21,281,"1,185"
Cambodia,"1,026",1,419,20,132,"1,598"
China - mainland born,"13,245",25,"14,161","2,994",0,"30,425"
China - Taiwan born,853,11,"1,674",175,196,"2,909"
Hong Kong S.A.R,214,2,"1,253",18,16,"1,503"
India,"12,039",126,"15,399",904,0,"28,468"
Indonesia,352,10,308,27,103,800
Iran,"3,053",9,"2,881",272,"1,842","8,057"
Iraq,540,"2,035",318,19,37,"2,949"
Israel,287,3,126,64,25,505
Japan,"1,473",11,82,234,169,"1,969"
Jordan,"1,644",8,"1,138",39,70,"2,899"
"Korea, North",9,0,3,0,0,12
"Korea, South","2,018",22,"1,638",953,0,"4,631"
Kuwait,170,4,185,8,29,396
Laos,106,1,111,4,3,225
Lebanon,921,16,907,72,43,"1,959"
Malaysia,163,3,114,31,37,348
Maldives,0,0,0,0,0,0
Mongolia,74,0,6,9,103,192
Nepal,642,2,331,199,"1,902","3,076"
Oman,11,0,3,1,2,17
Pakistan,"5,161",42,"5,651",463,0,"11,317"
Philippines,"16,537",128,"19,636","1,093",0,"37,394"
Qatar,38,0,20,1,0,59
Saudi Arabia,294,0,147,8,27,476
Singapore,69,0,51,14,8,142
Sri Lanka,291,2,170,43,419,925
Syria,591,6,802,47,32,"1,478"
Thailand,985,5,336,47,23,"1,396"
Timor-Leste,0,0,0,0,0,0
United Arab Emirates,156,4,114,9,4,287
Vietnam,"7,038",10,"20,412",74,0,"27,557"
Yemen,"1,920",3,448,12,33,"2,416"
Region Total For Asia,"76,939","2,608","95,486","8,118","8,611","191,785"
Europe,,,,,,
Albania,"1,525",1,315,40,"1,632","3,513"
Andorra,0,0,1,0,0,1
Armenia,398,3,158,34,980,"1,573"
Austria,66,1,0,8,51,126
Azerbaijan,112,0,56,5,197,370
Belarus,213,4,83,15,716,"1,031"
Belgium,56,1,9,14,38,118
Bosnia and Herzegovina,261,0,25,5,35,326
Bulgaria,457,6,121,36,547,"1,167"
Croatia,66,0,17,8,25,116
Cyprus,29,0,4,2,6,41
Czech Republic,80,2,3,10,37,132
Denmark,71,1,13,9,23,117
Greenland,0,0,0,0,0,0
Estonia,45,1,9,0,10,65
Finland,60,0,4,5,32,101
France,445,1,69,73,237,825
French Guiana,1,0,1,0,0,2
French Polynesia,2,0,0,0,0,2
French Southern and Antarctic,,,,,,
Lands,0,0,0,0,0,0
Guadeloupe,1,0,2,0,0,3
Martinique,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0
Reunion,0,0,0,0,0,0
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,322,5,29,21,438,815
Germany,"1,311",13,149,108,882,"2,463"
Great Britain and Northern Ireland,"1,670",7,472,323,0,"2,472"
Anguilla,6,0,3,0,0,9
Bermuda,16,0,4,0,0,20
British Virgin Islands,12,0,10,0,0,22
Cayman Islands,11,0,3,0,0,14
Falkland Islands,0,0,0,0,0,0
Gibraltar,1,0,2,0,0,3
Montserrat,5,0,1,0,0,6
Pitcairn,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0
Turks and Caicos Islands,3,0,4,0,0,7
Greece,154,4,27,10,41,236
Hungary,123,1,42,15,61,242
Iceland,17,0,1,6,30,54
Ireland,213,1,6,13,54,287
Italy,322,8,69,49,135,583
Kazakhstan,346,0,59,12,189,606
Kosovo,410,0,37,0,89,536
Kyrgyzstan,112,0,26,3,129,270
Latvia,83,0,17,1,35,136
Liechtenstein,0,0,0,0,0,0
Lithuania,86,8,60,5,119,278
Luxembourg,1,0,3,0,0,4
Macedonia,326,2,145,8,148,629
Malta,2,0,2,0,4,8
Moldova,127,0,42,10,370,549
Monaco,2,0,0,0,0,2
Montenegro,107,0,45,4,10,166
Netherlands,134,1,25,21,60,241
Aruba,6,0,1,0,0,7
Netherlands Antilles,11,0,11,2,0,24
Northern Ireland (DV only),0,0,0,0,10,10
Norway,77,1,7,9,12,106
Poland,676,15,"1,329",115,0,"2,135"
Portugal,84,0,47,14,8,153
Macau,13,0,74,2,7,96
Romania,629,18,300,35,320,"1,302"
Russia,"2,580",19,366,136,"1,004","4,105"
San Marino,0,0,0,0,0,0
Serbia,228,1,72,10,152,463
Slovakia,53,0,11,1,38,103
Slovenia,14,1,1,0,4,20
Spain,319,10,40,15,73,457
Western Sahara,0,0,0,0,0,0
Sweden,177,0,28,22,43,270
Switzerland,63,1,13,15,66,158
Tajikistan,29,1,18,14,110,172
Turkey,555,1,159,120,973,"1,808"
Turkmenistan,18,0,7,4,63,92
Ukraine,"1,614",1,450,55,"1,772","3,892"
Uzbekistan,248,5,101,19,"3,324","3,697"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"17,204",145,"5,208","1,461","15,339","39,357"
North America,,,,,,
Antigua and Barbuda,78,1,84,1,6,170
Bahamas,69,0,44,1,13,127
Barbados,64,1,79,3,10,157
Belize,143,1,123,1,2,270
Canada,"1,083",2,484,366,0,"1,935"
Costa Rica,303,0,87,16,17,423
Cuba,"2,743",6,476,0,140,"3,365"
Dominica,187,1,271,2,15,476
Dominican Republic,"13,080",25,"30,482",28,0,"43,615"
El Salvador,"4,316",3,"6,200",200,0,"10,719"
Grenada,104,0,152,0,2,258
Guatemala,"2,099",2,"2,197",110,0,"4,408"
Haiti,"7,206",22,"8,639",20,0,"15,887"
Honduras,"2,016",8,"1,372",129,19,"3,544"
Jamaica,"5,193",5,"4,964",85,0,"10,247"
Mexico,"43,340",0,"22,005",276,0,"65,621"
Nicaragua,"1,156",0,931,12,16,"2,115"
Panama,288,3,169,3,15,478
Saint Kitts and Nevis,62,0,142,0,1,205
Saint Lucia,151,0,130,4,5,290
Saint Vincent and the Grenadines,116,0,100,3,5,224
Trinidad and Tobago,752,5,737,32,91,"1,617"
Region Total For North America,"84,549",85,"79,868","1,292",357,"166,151"
Oceania,,,,,,
Australia,369,5,35,42,238,689
Christmas Island,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0
Fiji,300,4,435,0,232,971
Kiribati,1,0,0,0,0,1
Marshall Islands,19,0,0,0,0,19
"Micronesia, Federated States of",0,0,0,0,0,0
Nauru,0,0,0,0,0,0
New Zealand,164,8,30,22,70,294
