Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,373,1,127,0,"1,086","1,587"
Angola,23,1,6,0,7,37
Benin,64,1,20,6,190,281
Botswana,8,0,1,0,3,12
Burkina Faso,99,0,30,6,120,255
Burundi,41,0,9,0,47,97
Cabo Verde,347,0,697,2,12,"1,058"
Cameroon,"1,062",8,427,2,"1,450","2,949"
Central African Republic,7,0,2,0,3,12
Chad,18,0,1,5,15,39
Comoros,0,0,0,0,0,0
"Congo, Dem. Rep. of the",423,2,177,0,"2,631","3,233"
"Congo, Rep. of the",29,0,15,0,48,92
Cote d'Ivoire,240,1,102,5,375,723
Djibouti,24,0,2,1,18,45
Egypt,"1,819",7,826,127,"3,434","6,213"
Equatorial Guinea,3,0,1,0,0,4
Eritrea,333,0,151,18,185,687
Ethiopia,"2,231",2,"1,547",22,"2,457","6,259"
Gabon,22,0,2,1,11,36
"Gambia, The",329,0,77,12,12,430
Ghana,"2,144",4,903,27,523,"3,601"
Guinea,319,1,104,4,259,687
Guinea-Bissau,15,0,0,1,1,17
Kenya,"1,213",7,354,98,888,"2,560"
Lesotho,4,0,0,0,0,4
Liberia,697,6,321,19,"1,740","2,783"
Libya,211,0,22,3,36,272
Madagascar,12,0,9,4,9,34
Malawi,18,0,8,1,9,36
Mali,133,0,23,1,22,179
Mauritania,73,0,27,0,6,106
Mauritius,15,0,7,0,11,33
Morocco,"1,556",9,335,26,904,"2,830"
Western Sahara,0,0,0,0,0,0
Mozambique,10,1,3,2,1,17
Namibia,10,0,0,1,6,17
Niger,55,0,3,7,14,79
Nigeria,"4,209",42,"1,864",167,0,"6,282"
Rwanda,41,0,10,12,198,261
Sao Tome and Principe,0,0,2,1,0,3
Senegal,399,1,127,30,98,655
Seychelles,4,0,0,0,0,4
Sierra Leone,583,2,113,27,354,"1,079"
Somalia,885,1,133,0,59,"1,078"
South Africa,425,10,81,79,178,773
South Sudan,70,0,3,0,1,74
Sudan,359,1,88,18,"1,176","1,642"
Swaziland,4,0,0,0,0,4
Tanzania,149,0,44,3,56,252
Togo,527,6,174,2,545,"1,254"
Tunisia,219,1,11,18,37,286
Uganda,431,1,95,64,164,755
Zambia,94,0,25,8,30,157
Zimbabwe,109,0,51,17,43,220
Region Total For Africa,"22,488",116,"9,160",847,"19,472","52,083"
Asia,,,,,,
Afghanistan,640,"6,884",307,8,28,"7,867"
Bahrain,19,0,15,2,2,38
Bangladesh,"5,839",13,"8,176",65,0,"14,093"
Bhutan,14,0,0,1,1,16
Brunei,3,0,2,1,0,6
Burma,503,4,526,2,88,"1,123"
Cambodia,778,0,360,31,152,"1,321"
China - mainland born,"15,627",55,"14,564","9,005",0,"39,251"
#NAME?,486,14,620,214,86,"1,420"
Hong Kong S.A.R,225,2,715,58,30,"1,030"
India,"13,406",185,"16,108",682,0,"30,381"
Indonesia,392,8,134,28,33,595
Iran,"2,087",33,"2,095",337,"2,627","7,179"
Iraq,572,"1,190",220,5,23,"2,010"
Israel,344,7,112,41,11,515
Japan,"1,304",26,78,130,109,"1,647"
Jordan,"1,704",9,"1,205",64,62,"3,044"
"Korea, North",5,0,2,0,0,7
"Korea, South","1,607",25,727,"1,536",0,"3,895"
Kuwait,172,1,160,21,24,378
Laos,140,0,72,9,0,221
Lebanon,811,8,742,97,52,"1,710"
Malaysia,165,3,117,48,13,346
Maldives,3,0,1,0,0,4
Mongolia,96,1,34,10,53,194
Nepal,"1,618",9,628,124,"3,332","5,711"
Oman,10,0,7,0,1,18
Pakistan,"6,637",51,"7,154",378,0,"14,220"
Philippines,"16,997",148,"15,524","3,981",0,"36,650"
Qatar,49,0,24,2,14,89
Saudi Arabia,321,7,146,39,88,601
Singapore,93,1,30,21,1,146
Sri Lanka,293,6,251,27,191,768
Syria,868,15,844,47,127,"1,901"
Thailand,"1,069",10,245,43,18,"1,385"
Timor-Leste,4,0,0,0,0,4
United Arab Emirates,189,8,195,44,40,476
Vietnam,"8,513",32,"18,310",523,0,"27,391"
Yemen,"2,348",3,617,4,171,"3,143"
Region Total For Asia,"85,951","8,758","91,067","17,628","7,377","210,794"
Europe,,,,,,
Albania,"1,978",7,669,26,"1,908","4,588"
Andorra,0,0,0,0,2,2
Armenia,551,3,287,29,"1,544","2,414"
Austria,61,0,7,12,47,127
Azerbaijan,149,4,76,0,282,511
Belarus,376,2,89,6,859,"1,332"
Belgium,85,0,8,20,29,142
Bosnia and Herzegovina,224,0,68,10,75,377
Bulgaria,583,15,132,10,820,"1,560"
Croatia,66,0,9,1,29,105
Cyprus,24,0,3,1,7,35
Czech Republic,92,4,12,2,36,146
Denmark,74,1,4,11,16,106
Faroe Islands,0,0,0,0,0,0
Greenland,0,0,0,0,0,0
Estonia,26,0,7,1,21,55
Finland,56,0,4,6,26,92
France,494,4,79,63,273,913
French Polynesia,2,0,0,0,0,2
French Southern and Antarctic Lands,0,0,0,0,0,0
New Caledonia,1,0,0,0,0,1
St. Barthelemy,0,0,0,0,0,0
Saint Martin,0,0,1,0,0,1
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,444,6,105,8,503,"1,066"
Germany,"1,119",12,121,65,486,"1,803"
Great Britain and Northern Ireland,"1,895",14,430,434,0,"2,773"
Anguilla,5,0,2,0,0,7
Bermuda,21,0,18,4,0,43
British Indian Ocean Territory,0,0,0,0,0,0
British Virgin Islands,6,0,11,0,0,17
Cayman Islands,3,0,5,0,0,8
Falkland Islands,0,0,0,0,0,0
Gibraltar,1,0,0,0,0,1
Montserrat,4,1,5,0,0,10
Pitcairn,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0
Turks and Caicos Islands,3,0,3,0,0,6
Greece,233,0,59,14,88,394
Hungary,153,3,17,13,110,296
Iceland,15,0,1,0,11,27
Ireland,173,3,11,23,43,253
Italy,542,9,93,60,240,944
Kazakhstan,203,2,35,10,448,698
Kosovo,355,0,117,2,145,619
Kyrgyzstan,166,0,38,6,271,481
Latvia,225,1,23,1,30,280
Liechtenstein,1,0,0,0,0,1
Lithuania,107,0,36,2,162,307
Luxembourg,4,0,0,0,0,4
Macedonia,283,3,142,19,258,705
Malta,4,1,0,3,0,8
Moldova,199,4,101,2,"1,561","1,867"
Monaco,4,0,0,0,0,4
Montenegro,110,0,51,0,6,167
Netherlands,215,2,13,18,43,291
Aruba,4,0,3,0,0,7
Curacao,3,0,4,0,0,7
Sint Maarten,9,0,15,0,1,25
